Membership Type,Number,Organization Name,Address,State
ASSOCIATE MEMBERS,15,Anglo American Crop Nutrients India Private Limited 22 Aura Biotechnologies Private Limited,"77- H Block, Survey No. 270/1, Plot No. 1&2, Galaxy Road, Sri Ganga Nagar 335 001 Ayanambakkam, Rajasthan Chennai 600 095, Tamil Nadu",Rajasthan
ASSOCIATE MEMBERS,16,Anshula Technological Engineering Consultants 23 Avana Logistek Limited,"Private Limited 201 & 202, Salcon Aurum, Plot No-4, A 401/402, LEO Building (Formerly Kohinoor CHS) Jasola District Centre, Plot No.479, T.P.S.III, 24th Road, Khar (West) New Delhi - 110 025, Mumbai 400 052, Maharashtra",Maharashtra
ASSOCIATE MEMBERS,17,Anya Polytech & Fertilizers Private Limited 24 Ballestra Engineering and Projects Private Limited,"B-243, Sector-26 No.69, Mezanine Floor, Noida 201 301 JP & Devi Jambukeshwara Arcade, Millers Road, Uttar Pradesh Bangalore 560 052, Karnataka",Uttar Pradesh
ASSOCIATE MEMBERS,18,Arcoy Industries India Private Limited 25 Baltic Testing India Private Limited,"606 Abhijeet, 1, Mithakhali Six Roads 3rd Floor, B Wing, Indiana House, Makwana Road, Near Ellisbridge Gamdevi, Marol Naka, Andheri East, Ahmedabad 380 006 Mumbai 400 059, Gujarat Maharashtra",Gujarat
ASSOCIATE MEMBERS,19,Arihant Fertiliser & Chemicals India Limited 26 Baroda Agro Chemicals Limited,"119, First Floor, Bansi Trade Centre, Survey No. 40, Yashkamal Industrial Estate, 585/5 M.G. Road, Dr.Roshan Singh Bhandari Marg, Baska-Tajpura Road, Village - Panelav, Taluka - Halol, Indore 452 001 Distt. Panchmahals 389 350, Madhya Pradesh Gujarat",Madhya Pradesh
ASSOCIATE MEMBERS,20,Atul Enterprises 27 Basant Agro Tech (India) Limited,"Mandi Road 95-96, 9th Floor, 'C' Wing, Baloda Bazar Mittal Court, Jamnalal Bajaj Marg, Nariman Point, Bhatapara 493 118 Mumbai 400 021, Chhattisgarh Maharashtra",Chhattisgarh
ASSOCIATE MEMBERS,21,AUMVN Industrial Products 28 Bharat Agro Molecules Limited,"3/11, Vijay Vilas Building No.3, E-35, Udyog Puram, Kavesar Delhi Road, Thane West 400 615 Meerut 250 103, Maharashtra Uttar Pradesh",Maharashtra
ASSOCIATE MEMBERS,29,Bhoomi Phosphate Private Limited 36 Chronos Richardson India Private Limited,"F 96-97, RIICO Industrial Area Plot No. 5E, Sector - 4, Gudli, Ballabgarh, Distt. Udaipur 313 024 Faridabad 121 004, Rajasthan Haryana",Rajasthan
ASSOCIATE MEMBERS,30,BIOFAC Inputs Private Limited (BIOFACTOR) 37 Combined Logistics Solutions Private Limited,"74C, Anrich Industrial Estate, Plot No. 4A, Third Floor, Block-4, IDA Bollaram, Jinnaram, Kirti Nagar Industrial Area, Sangareddy (Dist.) 502 325 New Delhi - 110 015, Telangana",Telangana
ASSOCIATE MEMBERS,31,Blue Phosphate Limited 38 Compagnie Indo-Francaise De Commerce Private,"F-6, 1st Floor, Limited, Vidhya Vihar Road, Devali, DCM Building, 3rd Floor, Udaipur 313 001 16, Barakhamba Road, Rajasthan New Delhi - 110 001",Rajasthan
